Ingredient,Frequency
돼지장점막 가수분해단백,2
헥사메타인삼염,2
타트체리분말,2
트립토판,2
쑥,2
게맛살,2
고명지단,2
홍삼농축액,2
글루코사민염산염,2
변성전분,2
향미제,2
가수분해닭,2
소 허파,2
제1인산칼슘,2
당밀,2
아마씨섬유소,2
천연구연산,2
천연초산,2
천연복합토코페롤,2
해바라기 씨유,2
사슴 힘줄,2
글리신,2
유도단백질,2
햄,2
소음경,2
국내산무항생제오리안심,2
방울토마토,2
유기농 오트밀,2
케이지프리오리,1
염산리피독신,1
바티만B12보충제,1
놓아 기른 닭 뼈 육수,1
놓아 기른 닭 간,1
생선뼈육수,1
케이지프리닭,1
자연산명태,1
치아씨 오일,1
토코페롤 철 단백질 화합물,1
비타민 A 보퉁제,1
건조고구마,1
허브와과일,1
칠면조 지방,1
건조 비피도박테리움롱검 발효산물,1
사슴위,1
사슴심장,1
사슴폐,1
사슴간,1
사슴신장,1
사슴뼈,1
사슴연골,1
칠면조 뼈 육수,1
건조된병아리콩,1
수분을제거한셀러리,1
수분을제거한시금치,1
칠면조 고기,1
칠면조 등뼈,1
껍질콩,1
수분을 제거한 파스닙,1
수분을 제거한 흰강낭콩,1
수분을 제거한 유기농 코코넛,1
유기농 비트,1
유기농 스쿼시호박,1
닭 등뼈,1
껍질을 제거한 닭 목,1
참마,1
콜라드,1
닭뼈,1
수분을 제거한 놓아기른 오리,1
건조된 흰강낭콩,1
자유방복얼룩말고기,1
얼룩말간폐심장,1
얼룩말뼈,1
부분가수분해 효모,1
사과섬유,1
가수분해 식물성 단백질,1
치커리 뿌리,1
말린 해조류,1
생 칠면조고기,1
통 녹색 완두콩,1
생 민물고기,1
통 황색완두콩,1
동결 건조된 닭고기와 간,1
신성한통호박,1
건조된 치커리 뿌리,1
신선한 순무잎,1
신선한 비트그린,1
통 사스가툰베리,1
사과 식초,1
통 녹색완두콩,1
신선한 닭내장육,1
생 메롤루사,1
통 녹색렌틸콩,1
난백분,1
닭 뼈,1
오리 뼈,1
칠면조 뼈,1
칠면조 모래집,1
캥거루살코기,1
뼈를발라낸칠면조,1
칠면조분말,1
돼지고기 육수,1
해바라깅,1
미네랄탄산칼슘,1
제1인산나트륨,1
캐럽밀,1
배합첨가제,1
갈은 아마인,1
유채끼,1
오리살코기,1
파슬리 뿌리,1
연어살,1
연어껍질 및 뼈,1
뼈를 발라낸 돼지고기,1
차전자치,1
로즈힙가루 비타민A4000IU,1
비타민D3500IU,1
감자파스닙,1
계란껍데기분말,1
닭 내장,1
순무,1
호박씨분말,1
굴껍데기,1
서양자초,1
캐러웨이,1
규조토 비타민D3350IU,1
비타민E75IU,1
아연40mg,1
달걀 껍질 가루,1
규조토 비타민A4000IE,1
비타민D3500IE,1
아트초크잎,1
계란껍데기가루,1
달걀 껍데기 가루,1
말심장,1
아마씨유,1
신선한 닭살코기,1
뼈를발라낸오리,1
오리분말,1
자유 방목 치킨의 생육과 장기와 뼈,1
뉴질랜드산 야생 호키,1
글리산구리,1
멜론,1
밤,1
마인유,1
근괴류,1
셀러리 뿌리분말,1
통 황색 완두콩,1
샐러리줄기,1
닭고기와 갈은뼈,1
닭의 심장,1
양 트라이프,1
닭의 간,1
호키생선 간유,1
아연 아미노산 복합체,1
철 아미노산 복합체,1
구리 아미노산 복합체,1
망간 아미노산 복합체,1
비타민B,1
완두 분말,1
토카토,1
아보카도 오일,1
세이지 추출물,1
치커리 이눌린,1
티아민 ,1
도라지추출물,1
완두콩 분말,1
연어 분말,1
효모 추출물,1
토코페롤 추출물,1
지방산에스테르,1
타조고기,1
농축대두단백,1
아스코르빈산,1
치킨간,1
생선단백질,1
소고기 간,1
보충제,1
돼지고기후지살,1
콜리플러워,1
허브 및 과일,1
만난올리고당kg,1
모하비 유카,1
카모마일 건조,1
d칼슘 팬포테네이트,1
혼합 파프리카,1
건조 바질,1
소,1
L카르이틴,1
물25,1
닭고기 심장,1
건조한 통 연어,1
건조한 통 바다생선,1
신선한 통 연어,1
신선한 통 바다생선,1
순수 닭고기 오일,1
건조한 통계란,1
닭 육즙,1
노르웨이 연어 오일,1
원두콩,1
L카루니틴,1
천연 토코페롤,1
제이인칼슘,1
L티로신,1
마키베리,1
그린애플,1
달래,1
쐐기풀,1
처빌 비타민 무첨가,1
노란완두콩,1
참외,1
부추 비타민 무첨가,1
아스파라거스,1
육포,1
돈지,1
옥수수글루텐,1
파스팁,1
완숙토마토,1
복숭아,1
장미꽃잎,1
건조사탕무박 천연향료,1
염화콜린 DL메티오닌,1
냉이,1
옥수수클루텐박,1
적양배추,1
유기농 옥수수단백,1
연어단백,1
유기농 해바라기씨박,1
혼합 인산칼슘,1
석회석,1
맥반석,1
아르기닌,1
건조 바다 화이트피쉬,1
대구간유,1
스쿼시 호박,1
인산 이칼슘,1
비티민 E 보충제,1
뉴질랜드 초록입홍합,1
생메추리고기,1
뉴질랜드초록홍합,1
건조 바다생선,1
해덕,1
당근 스쿼시호박,1
자연건조 알파파,1
비타민 B12 보퉁제,1
탈수곤충,1
양조장의효모,1
유기해바라기오일,1
동물단백질가수분해,1
차아씨,1
유기농 해바라기유,1
천연야채향,1
건조 페디오코커스,1
애시디락티스 발효산물,1
피리독신염산엽,1
자유방복타조고기,1
타조간모래주머니,1
타조뼈,1
뉴질랜드 그린 램 트라이프,1
양고기 육수,1
염소고기,1
염소 위,1
흑점줄전갱이,1
염소 간,1
염소 심장,1
염소 폐,1
염소 신장,1
염소 뼈,1
칠면조고기와 뼈,1
자유방복돼지고기,1
돼지간폐심장,1
버터넛스쿼시,1
오리 모래주머니,1
비트루트,1
닭고기분말,1
L아스코빌2폴리인산아연,1
락토바실러스,1
아시도필루스,1
NAcetylGlucosamine,1
흰강낭콩추출분말,1
가르시니아캄보지아추출분말,1
사바나야생토끼,1
토끼고기와 뼈,1
오레가노잎,1
징크,1
곡류 타피오카 전분,1
미량광물질합류합제,1
돼지플라스마,1
대구간,1
쿠아검,1
사바고등어,1
칠면조30,1
닭고기탈수,1
말린사과,1
대나무리그노셀룰로오스,1
허브및과일,1
만난올리고당,1
모하비유카,1
카모마일건조,1
"초록입홍합,mgkg",1
소고기 육수,1
소 신장,1
사슴 위,1
사슴 폐,1
소 뼈,1
양 신장,1
사슴 신장,1
사슴 뼈,1
N아세틸글루코사민,1
복분자 추출물,1
비프,1
인도적으로 사육한,1
뼈바른닭고기,1
흰살생선 분말,1
건조 병아리콩,1
완두단백질,1
맨하덴 생선오일,1
건조 생강,1
콜린콜로라이드,1
아연황산염,1
칼슘 단백질 화합물,1
피리독신 하이드로콜로라이드,1
닭고기와 뼈,1
뼈껍질바른연어,1
신선한 닭,1
건조한 칠면조,1
건조한 닭,1
순수 닭고기 기름,1
통계란 분말,1
건조한 연어,1
흰살생선 육수,1
흰살생선껍질,1
냉장 닭,1
감자과립,1
완두콩섬유,1
미네랄 ,1
돼지신장,1
뼈바른칠면조,1
해초 비타민 무첨가,1
닭 모래 주모니,1
망간 단밸직 화합물,1
가수분해 연어고기,1
유기농 살,1
유기농 해바라기,1
엽산 L라이신,1
뉴질랜드 녹색입홍합,1
밀크 시슬 분말,1
건조 마리골드,1
토마토 추출물,1
락토바실러스 아시도필루스,1
돼지염통,1
황태가루,1
난각,1
시슬허브,1
해바라기 씨,1
스쿼시,1
발아 퀴노,1
투메릭,1
셀러리,1
놓아 기른 칠면조 고기,1
놓아 기른 칠면조 간,1
오트밀,1
아티초크,1
거위,1
베리,1
황산염오수화물,1
망가누스II산화물,1
캐러웨이 씨앗,1
말토오스,1
말티톨시럽분말,1
난소화성말토덱스트린,1
올리고당가공품,1
요구르트향혼합제,1
피비도박테리움 비피덤 BGN4분말,1
비피도박테리움 애니말리스 락티스 AD011 분말,1
락토바실러스 파라카제이 CH88분말,1
비피도박테리움 롱검 BORI 분말,1
방울양배추,1
그린빈스,1
치자황색소,1
비타민복합제,1
미네랄복합제,1
결정셀룰로오스,1
홍삼농축분말,1
녹용추출분말,1
다래추출물,1
당귀분말,1
글루칸30,1
산수유분말,1
레드믹스 ,1
옐로우믹스 ,1
그린믹스 ,1
퍼플믹스 ,1
치즈분말,1
결정셀롤로오스,1
헤마토코쿠스추출물,1
치커리뿌리추출물,1
기타가공품,1
SHMP 마누카꿀 한우우피,1
MSM 산양유 한우우피,1
프로폴리스 추출 분말,1
유기농 밀가루,1
귀리 가루,1
호밀 가루,1
캐롭파우더,1
바나나분말,1
가자미,1
크런치팝 쌀,1
치자황색소 요거코코 쌀,1
연어연어,1
프로폴리스 북어명태 순살,1
닭가슴,1
단호박 한우우피,1
무농약 단호박 고구마 한우우피,1
무농약 고구마,1
무농약고구마,1
무농약브로콜리,1
무농약아로니아,1
무농약딸기,1
무농약단호박,1
야생화꿀,1
무뇽약아로니아 외 정제수,1
자연산 열빙어,1
계란 노른자100,1
무항생제 한돈등심,1
시나몬파우더,1
명태포,1
미니양배추 ,1
뉴질랜드 비프 그린 트라이프,1
뉴질랜드 녹색입 홍합,1
말리톨,1
이소말토올리고당,1
CMCNa,1
글리세린모노스테아레이트,1
베리요거트 닭가슴살,1
요거트,1
대구살,1
자연산 연어,1
놓아 기른 칠면조,1
유기농 그린빈,1
유기농 생강가루,1
식물성글리세린05 믹스,1
토코페롤05,1
놓아 기른 닭뼈 육수,1
건조 돼지고기 간,1
피로인산염,1
프로피온산나트륨,1
상세페이지 참조,1
칠면조 힘줄,1
시금치켈프,1
천연허브,1
곤충단백질,1
페퍼민트분말,1
100 국내산 유기농 사과,1
식물성 글리세린05,1
믹스 토코페롤05,1
라즈베리,1
매생이,1
코코넛 글리세린,1
증류식초,1
국내산 산양유,1
열빙어,1
정제포도당,1
불활성건조 효모,1
세라마이드,1
코코넛 분말,1
오케가3,1
배추,1
키위,1
LArginine,1
MCT Powder,1
중력분,1
클리콜,1
인산염,1
육풍시즈닝,1
칼슘용액,1
황기,1
100 국내산 유기농 배,1
로즈메리,1
마리골드분말,1
크릴분말,1
도라지 분말,1
복분자분말,1
오리 안심,1
매스틱검,1
울금가루,1
당근고구마 닭가슴살,1
"비타민D,",1
상어연골분말,1
무항생제 돼지고기,1
대구껍질,1
감자분말,1
작두콩분말,1
케르세틴,1
울금추출분말,1
표고버섯분말,1
NAcetylglucosamine,1
흰강낭콩추출물,1
연여,1
미네랄합제타우린,1
미세조류,1
바실러스코아글란스,1
클루렐라,1
바나나 분말,1
땅콩버터,1
밀크씨슬추출물,1
이노시톨,1
무농약 딸기,1
단호박시금치 닭가슴살,1
마리골드 추출물,1
도라지추출분말,1
닭고기 ,1
한우간 ,1
황태70,1
용과,1
치킨파우더,1
대두레시틴,1
황산콘드로이친,1
맥주효모파우더,1
역돔,1
신선한 송어,1
생선 육수,1
서양호박,1
정제어유,1
가수분해단백질,1
비타민B1라우릴황산염,1
비타민믹스,1
모노글리세라이드,1
셀룰로오스검,1
천연가금향,1
100 국내산 유기농 딸기,1
돼지족발,1
폴리인산나트륨,1
맥아분,1
닭고기 가공분,1
비타민 ECA,1
무염북어,1
100 천연 코코넛 오일,1
호아태,1
어성초,1
맥아,1
당귀,1
천궁,1
갈근,1
인동,1
열빙어 ,1
돼지고기 뒷다리살,1
양배추추출분말,1
함수구연산,1
안식향산나트륨,1
참치향,1
황칠나무,1
우슬,1
마가목,1
울금,1
카세인나트륨,1
푸마르산,1
티타늄디옥사이드,1
소듐데하이드로아세테이트,1
황태채,1
황태엑기스,1
차가버섯추출분말,1
삼백초,1
붉나무,1
오미자,1
구기자,1
명태 ,1
달맞이오일,1
캥거루 갈비,1
가수분해대두,1
오메라3,1
가다랑어,1
혼합 유산균,1
자색고구마분말,1
은대구 간,1
소 비장,1
파마산 치즈,1
아마씨 파이버,1
사탕수수당밀,1
천연 산미제,1
천연 산미자,1
바닐라추출물,1
포크 돼지고기 뒷다리살,1
프로테아제 치킨 닭가슴,1
프로테아제 덕 오리,1
프로테아제 비프 소고기,1
오리지널 소 우신,1
마누카꿀 소 우신,1
양고기 ,1
레몬즙,1
DHA골드,1
연어 ,1
팜유,1
닭고기 즙,1
말릭에시드,1
구연산나트륨,1
닭육수농축액,1
송아지힘줄,1
사탕수수,1
소르빈산 칼륨,1
캥거루 힘줄,1
돼지사골,1
황다랑어 ,1
사슴근육,1
소근육,1
캥거루 ,1
가수분해 대두단백,1
가수분해 오리고기,1
"연근,",1
건조시금치,1
소의기관,1
캥거루다리뼈,1
캥거루 너클본,1
닭안심,1
한우허파,1
칠면조목뼈,1
한우소간,1
자연산첨연어,1
무항생제캥거루정육,1
사슴 녹각,1
사슴 갈비,1
조단백1382이상,1
조지방06이하,1
조섬유이하,1
조회분109이하 ,1
수분이하 사용원료 국내산무항생제오리안심,1
국내산메추리알,1
국내산쌀가루,1
국내산당근,1
국내산시금치,1
국내산브로콜리,1
연어져키 자연산첨연어,1
파슬리 열빙어져키 열빙어,1
아카시아꿀,1
흑임자분말,1
국내산무항생제오리목뼈,1
캥거루꼬리뼈,1
국내산무항생제오리근위,1
적채,1
복분자,1
사과초모식초,1
마,1
부,1
",사과초모식초",1
연어도미,1
무항생제 제주 말,1
무항생제 캥거루,1
무항생제 말고기,1
캥거루갈비뼈,1
